Location0,Location1
Toronto Canada,105
Studio 2 Stage 1 NBC Studios - 3000 W. Alameda Avenue Burbank California USA,241
Studios 60 Los Angeles California USA,125
Kerala India,112
Studio 6B NBC Studios - 30 Rockefeller Plaza Manhattan New York City New York USA,494
Stage 42 Universal Studios - 100 Universal City Plaza Universal City California USA,666
Stage 8 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,529
Ray-Art Studios - 6625 Variel Avenue Canoga Park Los Angeles California USA,183
Stage 14 Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California USA,183
Stage 25 Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California USA,535
Stage 1 Universal Studios - 100 Universal City Plaza Universal City California USA,405
Madrid Madrid Spain,435
Sevilla Andaluca Spain,261
Stage 19 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,244
Dresden Saxony Germany,207
Stage 20 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,363
Springfield Missouri USA,157
Zurich Switzerland,112
Studio 43 CBS Television City - 7800 Beverly Blvd. Fairfax Los Angeles California USA,285
Mobile Alabama USA,133
Granada Andaluca Spain,130
Almera Andaluca Spain,175
Segovia Castilla y Len Spain,111
Thessaloniki Greece,112
Geneva Canton de Genve Switzerland,192
Utrecht Utrecht Netherlands,119
Stage 43 Universal Studios - 100 Universal City Plaza Universal City California USA,605
West Virginia USA,102
Studio 6A NBC Studios - 30 Rockefeller Plaza Manhattan New York City New York USA,260
Flint Michigan USA,140
Nettlefold Studios Walton-on-Thames Surrey England UK,281
Colorado Public Television Five Points Media Center,265
Greensboro North Carolina USA,178
Hollywood Palace Theater - 1735 N. Vine Street Hollywood Los Angeles California USA,245
Studio TC4 BBC Television Centre Wood Lane Shepherd's Bush London England UK,129
Stage 34 Universal Studios - 100 Universal City Plaza Universal City California USA,336
Stage 41 Universal Studios - 100 Universal City Plaza Universal City California USA,641
Stage 19 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,605
Spokane Washington USA,182
Rouleau Saskatchewan Canada,109
Incir De Paolis Studios Rome Lazio Italy,154
Africa U.S.A. - 8237 Soledad Canyon Road Acton California USA,118
Mlaga Andaluca Spain,133
Ealing Studios Ealing London England UK,282
CTN Studio Pensacola Florida USA,104
Stage 27 Universal Studios - 100 Universal City Plaza Universal City California USA,148
Stage 33 Universal Studios - 100 Universal City Plaza Universal City California USA,223
Stage 44 Universal Studios - 100 Universal City Plaza Universal City California USA,610
Crucible Theatre Sheffield South Yorkshire England UK,258
Estudios Churubusco Azteca Mexico City Distrito Federal Mexico,114
Arlington Texas USA,162
Durham North Carolina USA,105
Greenwich Studios - 12100 Ivan Tors Boulevard Miami Florida USA,128
Southfork Ranch Plano Texas USA,108
Stage 23 Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd. Culver City California USA,351
Stage 5 Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd. Culver City California USA,352
MGM British Studios Borehamwood Hertfordshire England UK,282
Braslia Distrito Federal Brazil,104
Dijon Street Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,476
The Bridge Studios Burnaby British Columbia Canada,113
Denton Texas USA,143
Paintworks Bristol England UK,244
American National Studios Hollywood Los Angeles California USA,148
Radio Telefis Eireann Donnybrook Dublin County Dublin Ireland,506
Bob Barker Studio CBS Television City - 7800 Beverly Blvd. Fairfax Los Angeles California USA,126
Studio 33 CBS Television City - 7800 Beverly Blvd. Fairfax Los Angeles California USA,941
Tenerife Canary Islands Spain,128
West Berlin Berlin Germany,210
County Wicklow Ireland,108
Stage 26 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,928
Stage 3 Universal Studios - 100 Universal City Plaza Universal City California USA,139
Stage 5 Universal Studios - 100 Universal City Plaza Universal City California USA,178
Stage 21 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,273
Moab Utah USA,106
Senegal,104
Arenys de Mar Barcelona Catalonia Spain,147
General Service Studios - 1040 N. Las Palmas Hollywood Los Angeles California USA,2509
Milano Italy,133
Milan Italy,101
Stage 3 The Lot - 1041 N. Formosa Avenue West Hollywood California USA,184
Stage 4 The Lot - 1041 N. Formosa Avenue West Hollywood California USA,182
Stage 5 The Lot - 1041 N. Formosa Avenue West Hollywood California USA,183
Stage 17 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,225
Stage 2 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,125
Stage 4 Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California USA,111
Stage 2 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,949
Stage 1 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,480
Midwest Street Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,625
Chandivali Studio Mumbai Maharashtra India,150
Estudios Telson Madrid Spain,169
Cuernavaca Morelos Mexico,134
Con Malaga Spain,156
Szigetvr Hungary,185
Stage 10 CBS Studio Center - 4024 Radford Avenue Studio City Los Angeles California USA,159
Stage 15 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,175
Stage 24 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,758
Eden Prairie Minnesota USA,184
Stage 19 Universal Studios - 100 Universal City Plaza Universal City California USA,339
Stage 6 Universal Studios - 100 Universal City Plaza Universal City California USA,275
Stage 12 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,352
Stage 14 CBS Studio Center - 4024 Radford Avenue Studio City Los Angeles California USA,115
Daytona International Speedway - 1801 W. International Speedway Boulevard Daytona Beach Florida USA,142
Stage 5 & Stage 6 Paramount Sunset Lot 5800 Sunset Blvd Los Angeles California USA,150
Castel Film Studios Bucharest Romania,114
Stage 6 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,327
Ilikai Hotel 1777 Ala Moana Blvd Waikiki Honolulu O'ahu Hawaii USA,288
Filmways Studios - 246 East 127th Street East Harlem Manhattan New York City New York USA,281
Bloomington Indiana USA,118
Stage 4 Stage 1 NBC Studios - 3000 W. Alameda Avenue Burbank California USA,119
Lelystad Flevoland Netherlands,106
Stage 21 Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd. Culver City California USA,111
Stage 22 Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd. Culver City California USA,112
Cinema General Studios - 846 N. Cahuenga Hollywood Los Angeles California USA,136
Stamford Connecticut USA,113
Stage 10 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,647
Stage 11 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,492
Ed Sullivan Theater - 1697 Broadway Manhattan New York City New York USA,253
Film City Goregaon Mumbai Maharashtra India,375
Covington Georgia USA,213
Mansfield Theater New York City New York USA,298
CBS Studio 59 New York City New York USA,177
CCC-Atelier Spandau Berlin Germany,128
Norman Oklahoma USA,140
Vila Nogueira de Azeito Portugal,196
Stage 4 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,388
Quinta das Torres Vila Nogueira de Azeito Portugal,195
Portinho da Arrbida Portugal,194
Bangalore Karnataka India,176
Filmistan Studios Mumbai Maharashtra India,363
Adyliget Budapest Hungary,152
Stage 4 Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd. Culver City California USA,347
Walton Studios Walton-on-Thames Surrey England UK,192
Merton Park Studios Merton London England UK,133
Stage 16 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,117
Veracruz Mexico,101
Stage 17 Universal Studios - 100 Universal City Plaza Universal City California USA,160
Studios des Buttes Chaumont 42-46 rue des Alouettes Paris le-de-France France,112
Stage 29 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,182
Cuautla Morelos Mexico,118
Desilu Studios - 846 N. Cahuenga Blvd. Cahuenga Los Angeles California USA,246
Bedford Park Studios New York City New York USA,122
Stage 9 Columbia/Sunset Gower Studios - 1438 N. Gower Street Hollywood Los Angeles California USA,148
2104 Kenwood Parkway Minneapolis Minnesota USA,121
City University Bastwick Street London England UK,127
Stage 30 Paramount Pictures - 5555 Melrose Ave. Los Angeles California USA,495
WQED - 4802 Fifth Avenue Pittsburgh Pennsylvania USA,231
Troy New York USA,296
Stage 9 Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California USA,193
Rua Campolide Lisbon Portugal,400
Rua Francisco Franco Lisbon Portugal,200
Villa So Paulo Lisbon Portugal,199
John H. McDonald House New Westminster Canada,112
Nikka Fishing & Marine Richmond Canada,112
Steveston Cannery Cafe Richmond Canada,112
Boulogne Buenos Aires Federal District Argentina,134
BBC Media Village Wood Lane White City London England UK,228
Stage 8 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,697
EUE/Screen Gems Studios - 222 E. 44th Street Manhattan New York City New York USA,166
Stage 4 Stage 1 Stage 1 NBC Studios - 3000 W. Alameda Avenue Burbank California USA,277
Largo Manuel da Costa Queluz Portugal,127
Bogot Columbia,173
KECA-TV Los Angeles California USA,175
Studio 58 CBS Television City - 7800 Beverly Blvd. Fairfax Los Angeles California USA,111
Studio 3 Stage 1 NBC Studios - 3000 W. Alameda Avenue Burbank California USA,569
Studio 9 GTV-9 Studios 22 Bendigo Street Richmond Melbourne Victoria Australia,149
1695 Broadway New York City New York USA,148
Stage 5 Ren-Mar Studios - 846 N. Cahuenga Blvd. Hollywood Los Angeles California USA,126
Golden West Studios - 5800 Sunset Blvd. Los Angeles California USA,104
Studio 3 Stage 1 Stage 1 NBC Studios - 3000 W. Alameda Avenue Burbank California USA,133
Studio 6 KTTV/Fox Television Center - 5746 W. Sunset Blvd. Hollywood Los Angeles California USA,160
Film City Goregaon East Mumbai Maharashtra India,135
Docklands Studios Melbourne 476 Docklands Drive Waterfront City Docklands Melbourne Victoria Australia,168
BBC Media Village Wood Lane White City London UK,138
Stage 23 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,137
Stage 2 North Shore Studios North Vancouver British Columbia Canada,117
NBC Studios - 10 Rockefeller Plaza Manhattan New York City New York USA,118
The Raynham Channel - 420 Titicut Road Raynham Massachusetts USA,147
Marshfield Community Television - 167 Forest Street Marshfield Massachusetts USA,185
Viansa Sonoma Winery 25200 Arnold Dr Sonoma California USA,142
Kamalistan Studios Andheri Mumbai Maharashtra India,129
Titanus Studios Rome Lazio Italy,110
Essel Studios Mumbai Maharashtra India,122
Filmalaya Studio Mumbai Maharashtra India,137
Bangladesh Film Development Corporation Dhaka Bangladesh,307
Mehboob Studios Mumbai Maharashtra India,193
R.K. Studios Chembur Mumbai Maharashtra India,151
Yarraville Victoria Australia,138
Biograph Studio Manhattan New York City New York USA,257
Niles California USA,319
Natraj Studios Mumbai Maharashtra India,150
Studios de Boulogne-Billancourt/SFP - 2 Rue de Silly Boulogne-Billancourt Hauts-de-Seine France,114
